CoralNet Functional Group,Morpho-Functional - Level 1,Morpho-Functional - Level 2,Genus/family level,Species level,"On CoralNet (Label present, Code adjusted, Existing label, manually Verified)",Label ID,Added to CoralNet,IORL Short code,Short Code,CoralNet Name,CoralNet Existing Name,CoralNet Description,CoralNet Existing Link
Other Invertebrates,Coral cup colonial,,,Astroides calycularis,LCE,8108,,,CCC_Ast,Astroides calycularis,Astroides calycularis,Coral cup colonial,https://coralnet.ucsd.edu/label/8108/
Other Invertebrates,Coral cup colonial,,,,LC,12006,,,CCC_Ast_DD,"Astroides calycularis, dead",-,Coral cup colonial,https://coralnet.ucsd.edu/label/12006/
Hard coral,Coral cup colonial,,,Hoplangia durotrix,LCE,8149,,,CCC_Hop,Hoplangia durotrix,Hoplangia durotrix,Coral cup colonial,https://coralnet.ucsd.edu/label/8149/
Hard coral,Coral cup colonial,,,Madracis pharensis,LCE,1784,,,CCC_Mad,Madracis pharensis,Madracis pharensis,Coral cup colonial,https://coralnet.ucsd.edu/label/1784/
Hard coral,Coral cup colonial,,,,LC,12007,,,CCC_Mad_DD,"Madracis pharensis, dead",-,Coral cup colonial,https://coralnet.ucsd.edu/label/12007/
Hard coral,Coral cup colonial,,,Oculina patagonica,LCE,1250,,,CCC_Ocu,Oculina patagonica,Oculina patagonica,Coral cup colonial,https://coralnet.ucsd.edu/label/1250/
Hard coral,Coral cup colonial,,,,LC,12008,,,CCC_Ocu_DD,"Oculina patagonica, dead",-,Coral cup colonial,https://coralnet.ucsd.edu/label/12008/
Other Invertebrates,Coral cup colonial,,,Parazoanthus axinellae,LCE,7303,,,CCC_Par,Parazoanthus axinellae,Parazoanthus axinellae,Coral cup colonial,https://coralnet.ucsd.edu/label/7303/
Other Invertebrates,Coral cup colonial,,,,LC,12009,,,CCC_Par_DD,"Parazoanthus axinellae, dead",-,Coral cup colonial,https://coralnet.ucsd.edu/label/12009/
Hard coral,Coral cup colonial,,,Cladocora caespitosa,LCE,805,,,CCC_Cla,Cladocora caespitosa,Cladocora caespitosa,Coral cup colonial,https://coralnet.ucsd.edu/label/805/
Hard coral,Coral cup colonial,,,,LC,12010,,,CCC_Cla_DD,"Cladocora caespitosa, dead",-,Coral cup colonial,https://coralnet.ucsd.edu/label/12010/
Other Invertebrates,Encrusting bryozoans,,,,LCE,8211,,,EB,Encrusting bryozoans,Encrusting bryozoans,Encrusting bryozoans,https://coralnet.ucsd.edu/label/8211/
Other Invertebrates,Encrusting bryozoans,,,,LC,12011,,,EB_DD,"Encrusting bryozoans, dead",-,Encrusting bryozoans,https://coralnet.ucsd.edu/label/12011/
Other Invertebrates,Branching bryozoans,,,,LC,11603,,,BB,Branching bryozoans,-,Branching bryozoans,https://coralnet.ucsd.edu/label/11603/
Other Invertebrates,Branching bryozoans,,,,LC,12012,,,BB_DD,"Branching bryozoans, dead",-,Branching bryozoans,https://coralnet.ucsd.edu/label/12012/
Other Invertebrates,Branching bryozoans,,,Dentiporella sardonica,LCE,3653,,,BB_Den,Dentiporella sardonica,Dentiporella sardonica,Branching bryozoans,https://coralnet.ucsd.edu/label/3653/
Other Invertebrates,Branching bryozoans,Bushforming bryozoans,,,LC,11604,,,BBB,Bushforming bryozoans,-,Branching bryozoans,https://coralnet.ucsd.edu/label/11604/
Other Invertebrates,Branching bryozoans,Bushforming bryozoans,,Amathia verticillata,LCE,7584,,,BBB_Ama,Amathia verticillata,Amathia verticillata,Branching bryozoans,https://coralnet.ucsd.edu/label/7584/
Other Invertebrates,Branching bryozoans,Bushforming bryozoans,,Tricellaria inopinata,LC,11605,,,BBB_Tri,Tricellaria inopinata,-,Branching bryozoans,https://coralnet.ucsd.edu/label/11605/
Other Invertebrates,Branching bryozoans,Random branching bryozoans,,Myriapora truncata,LCE,3661,,,BBR_Myr,Myriapora truncata,Myriapora truncata,Branching bryozoans,https://coralnet.ucsd.edu/label/3661/
Other Invertebrates,Branching bryozoans,,,,LC,12013,,,BBR_Myr_DD,"Myriapora truncata, dead",-,Branching bryozoans,https://coralnet.ucsd.edu/label/12013/
Other Invertebrates,Branching bryozoans,Multilayered branching bryozoan,,,LC,11606,,,BBM,Multilayered branching bryozoan,-,Branching bryozoans,https://coralnet.ucsd.edu/label/11606/
Other Invertebrates,Branching bryozoans,Multilayered branching bryozoan,,Pentapora fascialis,LCE,3662,,,BBM_Pen,Pentapora fascialis,Pentapora fascialis,Branching bryozoans,https://coralnet.ucsd.edu/label/3662/
Other Invertebrates,Branching bryozoans,,,,LC,12014,,,BBM_Pen_DD,"Pentapora fascialis, dead",-,Branching bryozoans,https://coralnet.ucsd.edu/label/12014/
Other Invertebrates,Branching bryozoans,Fan-shaped bryozoans ,,,LC,11607,,,BBF,Fan-shaped bryozoans,-,Branching bryozoans,https://coralnet.ucsd.edu/label/11607/
Other Invertebrates,Branching bryozoans,,,,LC,12015,,,BBF_DD,"Fan-shaped bryozoans, dead",-,Branching bryozoans,https://coralnet.ucsd.edu/label/12015/
Other Invertebrates,Branching bryozoans,Fan-shaped bryozoans ,,Reteporella grimaldii,LC,11608,,,BBF_RetGri,Reteporella grimaldii,-,Branching bryozoans,https://coralnet.ucsd.edu/label/11608/
Other Invertebrates,Branching bryozoans,Fan-shaped bryozoans ,,Hornera frondiculata,LCE,8150,,,BBF_Hor,Hornera frondiculata,Hornera frondiculata,Branching bryozoans,https://coralnet.ucsd.edu/label/8150/
Other Invertebrates,Branching bryozoans,Fan-shaped bryozoans ,Reteporella sp,,LC,11609,,,BBF_Ret,Reteporella sp.,-,Branching bryozoans,https://coralnet.ucsd.edu/label/11609/
Other Invertebrates,Ligh-bulb ascidians,,,,LC,11610,,,LBA,Light-bulb ascidians,-,Light-bulb ascidians,https://coralnet.ucsd.edu/label/11610/
